年月,銀行,項目,數值
10108,　大眾商業銀行,本國銀行,本月轉銷呆帳金額,12000000
10108,　大眾商業銀行,本國銀行,循環信用利息收入,30000000
10108,　大眾商業銀行,本國銀行,簽帳手續費收入,26000000
10108,　大眾商業銀行,本國銀行,預借現金手續費,1000000
10108,　大眾商業銀行,本國銀行,收單特約商店家數,92
10108,　日盛國際商業銀行,本國銀行,流通卡數,260885
10108,　日盛國際商業銀行,本國銀行,有效卡數,118109
10108,　日盛國際商業銀行,本國銀行,本月發卡數,499
10108,　日盛國際商業銀行,本國銀行,本月停卡數,8339
10108,　日盛國際商業銀行,本國銀行,循環信用餘額,766000000
10108,　日盛國際商業銀行,本國銀行,本月簽帳金額,512000000
10108,　日盛國際商業銀行,本國銀行,本月預借現金金額,11000000
10108,　日盛國際商業銀行,本國銀行,預期帳款比率,0.3
10108,　日盛國際商業銀行,本國銀行,底被呆帳提足率,653.57
10108,　日盛國際商業銀行,本國銀行,本月轉銷呆帳金額,3000000
10108,　日盛國際商業銀行,本國銀行,循環信用利息收入,10000000
10108,　日盛國際商業銀行,本國銀行,簽帳手續費收入,7000000
10108,　日盛國際商業銀行,本國銀行,預借現金手續費,0
10108,　日盛國際商業銀行,本國銀行,收單特約商店家數,0
10108,　安泰商業銀行,本國銀行,流通卡數,235503
10108,　安泰商業銀行,本國銀行,有效卡數,72394
10108,　安泰商業銀行,本國銀行,本月發卡數,4200
10108,　安泰商業銀行,本國銀行,本月停卡數,2113
10108,　安泰商業銀行,本國銀行,循環信用餘額,807000000
10108,　安泰商業銀行,本國銀行,本月簽帳金額,462000000
10108,　安泰商業銀行,本國銀行,本月預借現金金額,2000000
10108,　安泰商業銀行,本國銀行,預期帳款比率,0.09
10108,　安泰商業銀行,本國銀行,底被呆帳提足率,228.1
10108,　安泰商業銀行,本國銀行,本月轉銷呆帳金額,10000000
10108,　安泰商業銀行,本國銀行,循環信用利息收入,7000000
10108,　安泰商業銀行,本國銀行,簽帳手續費收入,7000000
10108,　安泰商業銀行,本國銀行,預借現金手續費,0
10108,　安泰商業銀行,本國銀行,收單特約商店家數,126
10108,　中國信託商業銀行,本國銀行,流通卡數,5409152
10108,　中國信託商業銀行,本國銀行,有效卡數,3631115
10108,　中國信託商業銀行,本國銀行,本月發卡數,56579
10108,　中國信託商業銀行,本國銀行,本月停卡數,31247
10108,　中國信託商業銀行,本國銀行,循環信用餘額,17064000000
10108,　中國信託商業銀行,本國銀行,本月簽帳金額,26168000000
10108,　中國信託商業銀行,本國銀行,本月預借現金金額,618000000
10108,　中國信託商業銀行,本國銀行,預期帳款比率,0.23
10108,　中國信託商業銀行,本國銀行,底被呆帳提足率,2043.02
10108,　中國信託商業銀行,本國銀行,本月轉銷呆帳金額,66000000
10108,　中國信託商業銀行,本國銀行,循環信用利息收入,200000000
10108,　中國信託商業銀行,本國銀行,簽帳手續費收入,348000000
10108,　中國信託商業銀行,本國銀行,預借現金手續費,40000000
10108,　中國信託商業銀行,本國銀行,收單特約商店家數,57779
10108,　臺灣中小企業銀行,本國銀行,流通卡數,291401
10108,　臺灣中小企業銀行,本國銀行,有效卡數,114576
10108,　臺灣中小企業銀行,本國銀行,本月發卡數,14018
10108,　臺灣中小企業銀行,本國銀行,本月停卡數,1991
10108,　臺灣中小企業銀行,本國銀行,循環信用餘額,722000000
