年月,銀行,銀行類別,項目,數值,英文欄位
10008,菲律賓首都銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,菲律賓首都銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,美商美國紐約梅隆銀行,外國銀行在台分行,公司支存戶數,7,C_Cd_Cnt
10008,美商美國紐約梅隆銀行,外國銀行在台分行,公司支存餘額,1000000,C_Cd_Bal
10008,美商美國紐約梅隆銀行,外國銀行在台分行,個人支存戶數,1,P_Cd_Cnt
10008,美商美國紐約梅隆銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,美商美國紐約梅隆銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,美商美國紐約梅隆銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,新加坡大華銀行,外國銀行在台分行,公司支存戶數,16,C_Cd_Cnt
10008,新加坡大華銀行,外國銀行在台分行,公司支存餘額,11000000,C_Cd_Bal
10008,新加坡大華銀行,外國銀行在台分行,個人支存戶數,2,P_Cd_Cnt
10008,新加坡大華銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,新加坡大華銀行,外國銀行在台分行,其他支存戶數,3,O_Cd_Cnt
10008,新加坡大華銀行,外國銀行在台分行,其他支存餘額,1000000,O_Cd_Bal
10008,美商道富銀行,外國銀行在台分行,公司支存戶數,0,C_Cd_Cnt
10008,美商道富銀行,外國銀行在台分行,公司支存餘額,0,C_Cd_Bal
10008,美商道富銀行,外國銀行在台分行,個人支存戶數,0,P_Cd_Cnt
10008,美商道富銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,美商道富銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,美商道富銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,法國興業銀行,外國銀行在台分行,公司支存戶數,1,C_Cd_Cnt
10008,法國興業銀行,外國銀行在台分行,公司支存餘額,0,C_Cd_Bal
10008,法國興業銀行,外國銀行在台分行,個人支存戶數,0,P_Cd_Cnt
10008,法國興業銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,法國興業銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,法國興業銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,澳商澳盛銀行,外國銀行在台分行,公司支存戶數,1776,C_Cd_Cnt
10008,澳商澳盛銀行,外國銀行在台分行,公司支存餘額,508000000,C_Cd_Bal
10008,澳商澳盛銀行,外國銀行在台分行,個人支存戶數,10892,P_Cd_Cnt
10008,澳商澳盛銀行,外國銀行在台分行,個人支存餘額,28000000,P_Cd_Bal
10008,澳商澳盛銀行,外國銀行在台分行,其他支存戶數,5,O_Cd_Cnt
10008,澳商澳盛銀行,外國銀行在台分行,其他支存餘額,3000000,O_Cd_Bal
10008,德商德意志銀行,外國銀行在台分行,公司支存戶數,57,C_Cd_Cnt
10008,德商德意志銀行,外國銀行在台分行,公司支存餘額,492000000,C_Cd_Bal
10008,德商德意志銀行,外國銀行在台分行,個人支存戶數,1,P_Cd_Cnt
10008,德商德意志銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,德商德意志銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,德商德意志銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,香港東亞銀行,外國銀行在台分行,公司支存戶數,39,C_Cd_Cnt
