年月,銀行,銀行類別,項目,數值,英文項目
9507,臺東區中小企業銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9507,外國銀行在台分行,全行外匯活期存款,總外匯活期存款,200992000000,My_TOT
9507,外國銀行在台分行,全行外匯定期存款,總外匯定期存款,261663000000,FY_TOT
9507,總計,國內外匯活期存款,國內外匯活期存款,566671000000,My_Country
9507,總計,國內外匯定期存款,國內外匯定期存款,1130509000000,Fy_Country
9507,總計,海外外匯活期存款,海外外匯活期存款,366590000000,MY_OS
9507,總計,海外外匯定期存款,海外外匯定期存款,647759000000,FY_OS
9507,中央信託局,國內外匯活期存款,國內外匯活期存款,1227000000,My_Country
9507,中央信託局,國內外匯定期存款,國內外匯定期存款,11525000000,Fy_Country
9507,中央信託局,海外外匯活期存款,海外外匯活期存款,104000000,MY_OS
9507,中央信託局,海外外匯定期存款,海外外匯定期存款,448000000,FY_OS
9507,中國農民銀行,國內外匯活期存款,國內外匯活期存款,0,My_Country
9507,中國農民銀行,國內外匯定期存款,國內外匯定期存款,0,Fy_Country
9507,中國農民銀行,海外外匯活期存款,海外外匯活期存款,0,MY_OS
9507,中國農民銀行,海外外匯定期存款,海外外匯定期存款,0,FY_OS
9507,交通銀行,國內外匯活期存款,國內外匯活期存款,7627000000,My_Country
9507,交通銀行,國內外匯定期存款,國內外匯定期存款,22419000000,Fy_Country
9507,交通銀行,海外外匯活期存款,海外外匯活期存款,1200000000,MY_OS
9507,交通銀行,海外外匯定期存款,海外外匯定期存款,6110000000,FY_OS
9507,臺灣銀行,國內外匯活期存款,國內外匯活期存款,23114000000,My_Country
9507,臺灣銀行,國內外匯定期存款,國內外匯定期存款,98756000000,Fy_Country
9507,臺灣銀行,海外外匯活期存款,海外外匯活期存款,8390000000,MY_OS
9507,臺灣銀行,海外外匯定期存款,海外外匯定期存款,14588000000,FY_OS
9507,臺灣土地銀行,國內外匯活期存款,國內外匯活期存款,9064000000,My_Country
9507,臺灣土地銀行,國內外匯定期存款,國內外匯定期存款,27427000000,Fy_Country
9507,臺灣土地銀行,海外外匯活期存款,海外外匯活期存款,1345000000,MY_OS
9507,臺灣土地銀行,海外外匯定期存款,海外外匯定期存款,14498000000,FY_OS
9507,合作金庫商業銀行,國內外匯活期存款,國內外匯活期存款,20473000000,My_Country
9507,合作金庫商業銀行,國內外匯定期存款,國內外匯定期存款,66305000000,Fy_Country
9507,合作金庫商業銀行,海外外匯活期存款,海外外匯活期存款,6136000000,MY_OS
9507,合作金庫商業銀行,海外外匯定期存款,海外外匯定期存款,8679000000,FY_OS
9507,第一商業銀行,國內外匯活期存款,國內外匯活期存款,34724000000,My_Country
9507,第一商業銀行,國內外匯定期存款,國內外匯定期存款,71464000000,Fy_Country
9507,第一商業銀行,海外外匯活期存款,海外外匯活期存款,22592000000,MY_OS
9507,第一商業銀行,海外外匯定期存款,海外外匯定期存款,29738000000,FY_OS
9507,華南商業銀行,國內外匯活期存款,國內外匯活期存款,44075000000,My_Country
9507,華南商業銀行,國內外匯定期存款,國內外匯定期存款,90301000000,Fy_Country
9507,華南商業銀行,海外外匯活期存款,海外外匯活期存款,22084000000,MY_OS
9507,華南商業銀行,海外外匯定期存款,海外外匯定期存款,32015000000,FY_OS
9507,彰化商業銀行,國內外匯活期存款,國內外匯活期存款,30063000000,My_Country
