年月,銀行,項目,數值
9602,台新國際商業銀行,海外外匯活期存款,9246000000
9602,台新國際商業銀行,海外外匯定期存款,38307000000
9602,台新國際商業銀行,海外外匯總存款,47553000000
9602,大眾商業銀行,國內外匯活期存款,9306000000
9602,大眾商業銀行,國內外匯定期存款,13072000000
9602,大眾商業銀行,國內外匯總存款,22378000000
9602,大眾商業銀行,海外外匯活期存款,3126000000
9602,大眾商業銀行,海外外匯定期存款,6159000000
9602,大眾商業銀行,海外外匯總存款,9285000000
9602,日盛國際商業銀行,國內外匯活期存款,3156000000
9602,日盛國際商業銀行,國內外匯定期存款,5725000000
9602,日盛國際商業銀行,國內外匯總存款,8881000000
9602,日盛國際商業銀行,海外外匯活期存款,652000000
9602,日盛國際商業銀行,海外外匯定期存款,567000000
9602,日盛國際商業銀行,海外外匯總存款,1219000000
9602,安泰商業銀行,國內外匯活期存款,2561000000
9602,安泰商業銀行,國內外匯定期存款,8044000000
9602,安泰商業銀行,國內外匯總存款,10605000000
9602,安泰商業銀行,海外外匯活期存款,457000000
9602,安泰商業銀行,海外外匯定期存款,991000000
9602,安泰商業銀行,海外外匯總存款,1447000000
9602,中國信託商業銀行,國內外匯活期存款,41932000000
9602,中國信託商業銀行,國內外匯定期存款,70087000000
9602,中國信託商業銀行,國內外匯總存款,112018000000
9602,中國信託商業銀行,海外外匯活期存款,38397000000
9602,中國信託商業銀行,海外外匯定期存款,69765000000
9602,中國信託商業銀行,海外外匯總存款,108162000000
9602,慶豐商業銀行,國內外匯活期存款,375000000
9602,慶豐商業銀行,國內外匯定期存款,2417000000
9602,慶豐商業銀行,國內外匯總存款,2792000000
9602,慶豐商業銀行,海外外匯活期存款,2065000000
9602,慶豐商業銀行,海外外匯定期存款,1656000000
9602,慶豐商業銀行,海外外匯總存款,3721000000
9602,臺灣中小企業銀行,國內外匯活期存款,19426000000
9602,臺灣中小企業銀行,國內外匯定期存款,29864000000
9602,臺灣中小企業銀行,國內外匯總存款,49291000000
9602,臺灣中小企業銀行,海外外匯活期存款,9815000000
9602,臺灣中小企業銀行,海外外匯定期存款,13959000000
9602,臺灣中小企業銀行,海外外匯總存款,23773000000
9602,臺北國際商業銀行,國內外匯活期存款,0
9602,臺北國際商業銀行,國內外匯定期存款,0
9602,臺北國際商業銀行,國內外匯總存款,0
9602,臺北國際商業銀行,海外外匯活期存款,0
9602,臺北國際商業銀行,海外外匯定期存款,0
9602,臺北國際商業銀行,海外外匯總存款,0
9602,新竹國際商業銀行,國內外匯活期存款,5650000000
9602,新竹國際商業銀行,國內外匯定期存款,9211000000
9602,新竹國際商業銀行,國內外匯總存款,14861000000
9602,新竹國際商業銀行,海外外匯活期存款,755000000
9602,新竹國際商業銀行,海外外匯定期存款,1248000000
9602,新竹國際商業銀行,海外外匯總存款,2003000000
9602,臺中商業銀行,國內外匯活期存款,1333000000
9602,臺中商業銀行,國內外匯定期存款,3152000000
9602,臺中商業銀行,國內外匯總存款,4484000000
9602,臺中商業銀行,海外外匯活期存款,590000000
9602,臺中商業銀行,海外外匯定期存款,565000000
9602,臺中商業銀行,海外外匯總存款,1157000000
9602,京城商業銀行,國內外匯活期存款,748000000
9602,京城商業銀行,國內外匯定期存款,1690000000
9602,京城商業銀行,國內外匯總存款,2438000000
9602,京城商業銀行,海外外匯活期存款,121000000
9602,京城商業銀行,海外外匯定期存款,176000000
9602,京城商業銀行,海外外匯總存款,297000000
9602,花蓮區中小企業銀行,國內外匯活期存款,0
9602,花蓮區中小企業銀行,國內外匯定期存款,0
9602,花蓮區中小企業銀行,國內外匯總存款,0
9602,花蓮區中小企業銀行,海外外匯活期存款,0
9602,花蓮區中小企業銀行,海外外匯定期存款,0
9602,花蓮區中小企業銀行,海外外匯總存款,0
9602,臺東區中小企業銀行,國內外匯活期存款,0
9602,臺東區中小企業銀行,國內外匯定期存款,0
9602,臺東區中小企業銀行,國內外匯總存款,0
9602,臺東區中小企業銀行,海外外匯活期存款,0
9602,臺東區中小企業銀行,海外外匯定期存款,0
9602,臺東區中小企業銀行,海外外匯總存款,0
9602,外國銀行在台分行,國內外匯活期存款,151872000000
9602,外國銀行在台分行,國內外匯定期存款,148278000000
9602,外國銀行在台分行,國內外匯總存款,300150000000
9602,外國銀行在台分行,海外外匯活期存款,82074000000
9602,外國銀行在台分行,海外外匯定期存款,132851000000
9602,外國銀行在台分行,海外外匯總存款,214925000000
